,Title,As of,Rank,Year to Date Rank,Last Week Rank,Title.1,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,year,Viewership Score
165,Marauders,2020-12-08,5,5,-,Marauders,Movie,No,2020-12-02,5,2020,20.0
166,Midnight at the Magnolia,2020-11-10,9,9,-,Midnight at the Magnolia,Movie,No,2020-11-05,3,2020,3.0
167,Mile 22,2020-11-14,8,8,4,Mile 22,Movie,No,2020-11-01,11,2020,38.27272727272727
168,Moneyball,2020-10-20,7,5,-,Moneyball,Movie,No,2020-10-14,6,2020,20.333333333333332
169,Monster,2021-05-12,9,8,-,Monster,Movie,Yes,2021-05-07,5,2021,10.0
170,Monsters vs. Aliens,2021-06-10,9,9,-,Monsters vs. Aliens,Movie,No,2021-06-01,6,2021,5.5
171,Mother's Day,2021-07-12,9,10,4,Mother's Day,Movie,No,2021-07-01,9,2021,28.666666666666668
172,Moxie,2021-03-10,10,10,-,Moxie,Movie,Yes,2021-03-03,7,2021,22.428571428571427
173,Mr. Peabody & Sherman,2020-08-25,10,9,5,Mr. Peabody & Sherman,Movie,No,2020-08-11,13,2020,36.0
174,Munich: The Edge of War,2022-01-27,8,8,-,Munich: The Edge of War,Movie,Yes,2022-01-21,3,2022,4.0
175,Murder to Mercy: The Cyntoi…,2020-05-05,10,8,-,Murder to Mercy: The Cyntoi…,Movie,Yes,2020-04-29,6,2020,17.666666666666668
176,My Little Pony: A New Gener…,2021-10-10,10,-,5,My Little Pony: A New Gener…,Movie,Yes,2021-09-24,13,2021,42.84615384615385
177,Night Teeth,2021-10-26,10,7,-,Night Teeth,Movie,Yes,2021-10-20,6,2021,16.0
178,Nightbooks,2021-09-21,10,10,-,Nightbooks,Movie,Yes,2021-09-15,5,2021,8.0
179,No One Gets Out Alive,2021-10-01,4,2,-,No One Gets Out Alive,Movie,Yes,2021-09-29,2,2021,12.5
180,Octonauts & The Ring of Fire,2021-04-02,9,10,-,Octonauts & The Ring of Fire,Movie,Yes,2021-03-30,2,2021,2.0
181,Only,2020-07-14,9,7,-,Only,Movie,No,2020-07-05,7,2020,14.0
182,Operation Christmas Drop,2020-11-12,8,6,-,Operation Christmas Drop,Movie,Yes,2020-11-05,7,2020,32.57142857142857
183,Operation Varsity Blues,2021-03-28,7,8,5,Operation Varsity Blues,Movie,Yes,2021-03-17,11,2021,37.09090909090909
184,Outside the Wire,2021-01-24,8,8,1,Outside the Wire,Movie,Yes,2021-01-15,9,2021,44.22222222222222
185,Over the Moon,2020-11-05,10,6,5,Over the Moon,Movie,Yes,2020-10-23,13,2020,49.92307692307692
186,Parker,2021-03-16,10,5,-,Parker,Movie,No,2021-03-04,7,2021,22.285714285714285
187,Passing,2021-11-14,7,10,-,Passing,Movie,Yes,2021-11-10,3,2021,6.0
