Title,As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score,year
The Babysitter: Killer Queen,2020-09-16,6,6,-,The Babysitter: Killer Queen,Movie,Yes,2020-09-10,6,43,2020
The Beast,2020-12-01,8,5,-,The Beast,Movie,Yes,2020-11-27,4,14,2020
The Boss Baby: Get That Baby,2020-09-06,8,9,-,The Boss Baby: Get That Baby,Movie,Yes,2020-09-01,4,12,2020
The Christmas Chronicles,2021-12-26,4,4,-,The Christmas Chronicles,Movie,Yes,2018-11-22,12,46,2021
The Christmas Chronicles 2,2021-12-26,7,5,-,The Christmas Chronicles 2,Movie,Yes,2020-11-25,24,132,2021
The Colony,2022-01-17,8,7,-,The Colony,Movie,No,2022-01-11,6,31,2022
The Conjuring 2,2021-02-25,10,8,-,The Conjuring 2,Movie,No,2021-02-21,4,13,2021
The Croods,2021-01-01,10,-,-,The Croods,Movie,No,2019-07-29,2,2,2021
The DUFF,2021-10-08,10,10,-,The DUFF,Movie,No,2021-10-01,6,21,2021
The Dark Knight,2021-03-13,10,10,10,The Dark Knight,Movie,No,2021-03-01,8,21,2021
The Devil All the Time,2020-09-23,10,6,-,The Devil All the Time,Movie,Yes,2020-09-16,7,45,2020
The Devil Below,2021-06-17,8,10,-,The Devil Below,Movie,No,2021-06-13,3,5,2021
The Dig,2021-02-07,7,9,3,The Dig,Movie,Yes,2021-01-29,9,54,2021
The Father Who Moves Mountains,2021-09-23,6,6,-,The Father Who Moves Mountains,Movie,Yes,2021-09-17,4,18,2021
The Forgotten Battle,2021-10-20,7,6,-,The Forgotten Battle,Movie,Yes,2021-10-15,5,23,2021
The Frozen Ground,2020-09-04,9,6,-,The Frozen Ground,Movie,No,2020-08-27,6,37,2020
The Green Hornet,2020-04-21,10,10,-,The Green Hornet,Movie,No,2020-04-18,2,2,2020
The Guilty,2021-10-12,8,5,4,The Guilty,Movie,Yes,2021-10-01,11,73,2021
The Half of It,2020-05-04,10,9,-,The Half of It,Movie,Yes,2020-05-01,2,3,2020
The Hangover,2020-04-09,10,10,-,The Hangover,Movie,No,2019-07-01,3,3,2020
The Harder They Fall,2021-11-17,10,9,4,The Harder They Fall,Movie,Yes,2021-11-03,14,98,2021
The Healer,2020-06-05,8,7,-,The Healer,Movie,No,2020-06-01,4,15,2020
The Help,2020-06-08,9,9,-,The Help,Movie,No,2020-06-01,6,21,2020
The Ice Road,2021-07-08,10,10,4,The Ice Road,Movie,Yes,2021-06-25,13,85,2021
The Impossible,2020-11-16,8,4,2,The Impossible,Movie,No,2020-11-01,11,76,2020
The Kissing Booth,2020-07-30,8,8,-,The Kissing Booth,Movie,Yes,2020-05-11,6,21,2020
The Kissing Booth 2,2020-08-05,9,6,1,The Kissing Booth 2,Movie,Yes,2020-07-24,12,97,2020
